Fatt. n°/Vs. Orc	Cliente	Kg	Ordine < 500 (non compilare se in C/L)	Lav	Tipologia Materiale	Materiale Euro di riferimento	Materiale+Lav con commissione	Vendita	Aliquota variabile	Commissione con aliquota Variabile	1,5% fissa	3% Fissa	8% Fissa	Totale Fisso	delta	Totale provv variabile	TOTALE FATTURA	Data Consegna	 € 18.539,86 	 € 62.281,55 			
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
						 € -     	 € -     		0,00%	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     	 € -     					0	0
		337.728,95												 € 72.045,658 	0	 € -   	 € 104.737,88 						
